sku,name,price,dataStatus,notes
JNK-PROD-00019,Fatti + Veggies + Bread,8,menu-only,Recipe pending
JNK-PROD-00020,Balila + Veggies + Bread,6,menu-only,Recipe pending
JNK-PROD-00021,Msabaha + Veggies + Bread,7,menu-only,Recipe pending
JNK-PROD-00022,Almond Fatti + Veggies + Bread,13,menu-only,Recipe pending
JNK-PROD-00023,Jinan's Tray,20,menu-only,Recipe pending
JNK-PROD-00024,Arepa — Eggs & Avocado,15,menu-only,Recipe pending
JNK-PROD-00025,Arepa — Tuna & Avocado,18,menu-only,Recipe pending
JNK-PROD-00026,Arepa — Mushroom & Avocado,20,menu-only,Recipe pending
JNK-PROD-00027,Pancake — Tahini & Walnut,10,menu-only,Recipe pending
JNK-PROD-00028,Pancake — Chocolate & Fruits,12,menu-only,Recipe pending
JNK-PROD-00029,Avocado Protein Bowl,13,menu-only,Recipe pending
JNK-PROD-00030,Knefi,10,menu-only,Recipe pending
JNK-PROD-00031,Vegan Pizza,15,menu-only,Recipe pending — separate from old Pizza SKU
JNK-PROD-00032,Eggs Mana'eesh,10,menu-only,Recipe pending
JNK-PROD-00033,Mushroom Mana'eesh,18,menu-only,Recipe pending
JNK-PROD-00034,Gomashio Mana'eesh,10,menu-only,Recipe pending
JNK-PROD-00035,Bread,5,menu-only,Recipe pending
